year,month,Region,Electric Vehicle (EV) Total
2023,11,"Coryell, TX",1
2019,8,"Frederick, MD",2
2019,10,"Manassas, VA",1
2023,7,"Lake, IN",1
2023,6,"Walla Walla, WA",331
2017,7,"Arlington, VA",2
2019,8,"Calvert, MD",2
2021,12,"San Francisco, CA",1
2021,9,"Cowlitz, WA",400
2023,6,"Clallam, WA",834
2018,8,"Grant, WA",83
2023,9,"Bell, TX",1
2020,10,"Queens, NY",1
2023,5,"Sheridan, WY",1
2022,5,"Fort Bend, TX",1
2021,5,"Stafford, VA",3
2019,5,"Clark, WA",2389
2018,1,"Dallas, TX",1
2022,12,"Parker, TX",1
2023,6,"Prince William, VA",3
2022,1,"Fresno, CA",1
2020,6,"Hawaii, HI",1
2022,3,"Prince George's, MD",3
2019,9,"Washoe, NV",2
2022,11,"Charleston, SC",4
2017,11,"Montgomery, TX",1
2020,10,"Thurston, WA",2014
2019,2,"Sacramento, CA",1
2020,11,"Kent, MI",1
2021,10,"Saginaw, MI",1
2023,11,"Ferry, WA",27
2018,5,"Mason, WA",0
2018,12,"Hawaii, HI",1
2018,11,"Nueces, TX",2
2023,1,"Orange, FL",1
2020,2,"Grant, WA",0
2020,5,"Flathead, MT",1
2019,9,"Mercer, NJ",1
2023,9,"Rockdale, GA",1
2022,5,"King, WA",51037
2023,6,"Douglas, NE",2
2022,10,"Fort Bend, TX",1
2021,1,"Ferry, WA",12
2022,7,"Grant, WA",0
2019,8,"Loudoun, VA",1
2018,9,"Asotin, WA",0
2022,10,"Ventura, CA",5
2021,11,"Danville, VA",1
2022,4,"Harnett, NC",2
2018,11,"Kittitas, WA",0
2018,9,"Columbia, WA",4
2020,8,"Okanogan, WA",74
2023,9,"Newport News, VA",1
2023,6,"Cumberland, PA",1
2020,12,"Grays Harbor, WA",0
2024,1,"Grant, WA",531
2019,3,"Klickitat, WA",0
2023,12,"Yakima, WA",940
2019,3,"Calvert, MD",1
2023,5,"Santa Cruz, CA",1
2020,8,"Douglas, WA",0
2019,6,"Pierce, WA",0
2022,9,"Virginia Beach, VA",3
2018,2,"Nueces, TX",2
2022,3,"Essex, NJ",2
2022,3,"Gwinnett, GA",1
2019,1,"Cowlitz, WA",0
2022,7,"Berkeley, SC",1
2022,12,"Cumberland, NC",5
2020,5,"Kitsap, WA",1990
2017,3,"Monterey, CA",1
2018,7,"Howard, MD",1
2018,9,"Washtenaw, MI",1
2020,2,"Powhatan, VA",1
2023,12,"Mobile, AL",1
2017,3,"Charles, MD",1
2019,9,"Jones, GA",1
2021,3,"Cowlitz, WA",330
2019,7,"Travis, TX",5
2021,7,"Sonoma, CA",1
2023,4,"Stevens, WA",1
2020,12,"Harford, MD",1
2020,3,"Twin Falls, ID",1
2022,4,"Boone, MO",1
2022,1,"Dorchester, SC",1
2023,8,"Jefferson, NY",3
2023,12,"DuPage, IL",3
2021,6,"Lake, FL",1
2018,2,"Sedgwick, KS",1
2022,3,"Portsmouth, VA",1
2018,8,"Kittitas, WA",86
2019,8,"Whatcom, WA",2
2017,4,"Riverside, CA",2
2021,2,"San Bernardino, CA",1
2018,11,"Marion, IN",1
2020,9,"Moore, NC",1
2018,7,"Sumter, FL",1
2019,11,"Penobscot, ME",1
2018,4,"Okanogan, WA",27
2021,1,"Wahkiakum, WA",13
2018,6,"Grant, WA",0
2020,4,"Wilson, TX",1
2019,9,"Skagit, WA",1
2023,12,"Hamilton, OH",1
2018,2,"Morris, NJ",1
2017,2,"Travis, TX",2
2020,10,"Sarasota, FL",2
2017,4,"Lewis, NY",1
2019,2,"Jefferson, WA",0
2021,3,"Denver, CO",1
2022,8,"Broward, FL",1
2022,9,"Madison, IL",1
2019,2,"Volusia, FL",1
2023,6,"Collier, FL",1
2023,4,"Las Animas, CO",1
2019,10,"Whitman, WA",0
2019,6,"Mason, WA",0
2019,8,"Kittitas, WA",0
2017,3,"Clackamas, OR",3
2018,12,"Guadalupe, TX",1
2022,8,"Frederick, MD",1
2020,7,"Manassas, VA",1
2021,3,"Thurston, WA",0
2019,6,"Skagit, WA",498
2018,4,"Ferry, WA",5
2022,2,"Bexar, TX",6
2021,6,"Williamson, TX",2
2020,7,"Douglas, NE",1
2017,11,"Prince George's, MD",1
2021,5,"Pend Oreille, WA",20
2023,8,"Riverside, CA",5
2022,3,"Columbia, WA",0
2021,7,"Penobscot, ME",1
2023,10,"Wahkiakum, WA",4
2022,1,"Marin, CA",2
2022,7,"Wilson, TX",1
2020,2,"Frederick, MD",2
2022,5,"Saratoga, NY",1
2019,8,"Montgomery, AL",1
2017,4,"Spokane, WA",1
2020,4,"Ada, ID",1
2023,10,"Nueces, TX",2
2019,5,"Guadalupe, TX",1
2019,10,"Cascade, MT",1
2020,5,"Bartow, GA",1
2021,4,"Whitman, WA",103
2022,11,"Kitsap, WA",27
2017,4,"Maui, HI",1
2020,7,"Morris, NJ",1
2018,3,"Eagle, CO",1
2020,5,"Okanogan, WA",67
2018,3,"Honolulu, HI",4
2020,1,"Tulsa, OK",2
2021,5,"Harris, TX",2
2023,7,"Essex, MA",1
2020,8,"Spokane, WA",1284
2019,9,"Prince William, VA",5
2021,1,"Alameda, CA",4
2019,2,"Fulton, GA",3
2017,12,"Whitman, WA",37
2021,5,"Asotin, WA",0
2020,9,"DeKalb, GA",1
2023,8,"Pulaski, MO",2
2022,11,"Albemarle, VA",2
2023,6,"Lewis, WA",541
2021,6,"Owyhee, ID",1
2017,1,"Pierce, WA",0
2021,9,"Spartanburg, SC",1
2022,1,"Sacramento, CA",3
2018,11,"Fulton, GA",3
2021,5,"Houston, GA",1
2018,8,"Charles, MD",1
2019,9,"King, WA",7
2023,7,"Clark, WA",102
2022,10,"Lincoln, WA",29
2018,4,"Garfield, WA",0
2021,12,"Douglas, CO",1
2022,11,"Jefferson, NY",2
2022,2,"Mason, WA",0
2021,10,"Montgomery, TN",1
2022,8,"Palm Beach, FL",1
2018,9,"Guadalupe, TX",1
2024,1,"Parker, TX",1
2018,6,"Eagle, CO",1
2023,10,"Gwinnett, GA",1
2017,12,"Pacific, WA",28
2023,9,"Pend Oreille, WA",48
2023,4,"Anchorage, AK",1
2020,11,"Hampshire, MA",1
2024,2,"Allen, IN",2
2023,1,"Lewis, WA",469
2018,10,"Los Angeles, CA",9
2017,11,"Benton, WA",0
2019,7,"Mercer, NJ",1
2018,6,"New Haven, CT",1
2017,2,"Portsmouth, VA",1
2020,11,"Salt Lake, UT",1
2021,10,"Travis, TX",7
2017,1,"St. Mary's, MD",1
2021,9,"Bartow, GA",1
2024,2,"Bartow, GA",1
2022,9,"Whitman, WA",160
2022,6,"Lane, OR",2
2019,12,"Fulton, GA",2
2017,6,"New Haven, CT",1
2018,10,"Oldham, KY",1
2020,10,"Contra Costa, CA",7
2018,8,"Lane, OR",1
2021,11,"Miami-Dade, FL",1
2019,8,"Travis, TX",5
2023,5,"Virginia Beach, VA",4
2018,4,"Santa Fe, NM",1
2019,8,"Valencia, NM",1
2020,7,"DeKalb, IN",1
2019,3,"Skagit, WA",1
2018,3,"Cook, IL",1
2023,5,"Ferry, WA",0
2017,2,"Hawaii, HI",1
2021,12,"Camden, NJ",1
2019,3,"Grant, WA",0
2019,12,"Stevens, WA",0
2020,10,"Charleston, SC",2
2018,9,"Queens, NY",1
2018,10,"Walla Walla, WA",86
2023,5,"San Juan, WA",785
2020,7,"Lincoln, WA",0
2021,7,"Deschutes, OR",1
2020,6,"Montgomery, OH",1
2022,12,"St. Lawrence, NY",1
2022,8,"Skamania, WA",132
2022,5,"Palm Beach, FL",1
2019,2,"Cook, IL",1
2019,10,"Duval, FL",3
2017,11,"DeKalb, IN",1
2018,11,"Sacramento, CA",1
2017,4,"Skamania, WA",0
2023,11,"Kittitas, WA",18
2021,6,"Pima, AZ",3
2022,7,"Alexandria, VA",4
2017,8,"Palm Beach, FL",2
2018,2,"San Mateo, CA",1
2019,12,"Whitman, WA",0
2020,5,"Calvert, MD",2
2022,6,"Sonoma, CA",1
2023,7,"Otero, NM",1
2022,7,"Boulder, CO",2
2019,5,"Clallam, WA",0
2018,3,"Santa Rosa, FL",1
2020,7,"Clark, NV",5
2017,6,"Asotin, WA",9
2020,2,"St. Mary's, MD",1
2021,11,"Houston, GA",1
2023,12,"Chelan, WA",954
2018,2,"Clallam, WA",0
2020,1,"Allegheny, PA",1
2017,2,"Cowlitz, WA",96
2019,4,"Yakima, WA",196
2019,12,"Honolulu, HI",6
2022,1,"San Joaquin, CA",2
2023,1,"Williamson, TX",2
2021,6,"Williams, ND",1
2018,1,"Okanogan, WA",0
2019,5,"Anne Arundel, MD",2
2020,7,"Shasta, CA",1
2020,12,"Adams, WA",0
2019,5,"Boulder, CO",1
2020,2,"Island, WA",1
2019,1,"Los Angeles, CA",10
2019,4,"Prince George's, MD",2
2018,5,"Yakima, WA",146
2021,8,"Rockingham, NH",1
2018,2,"Twin Falls, ID",1
2018,11,"Spokane, WA",765
2022,11,"Benton, WA",7
2019,7,"Lewis, WA",0
2022,9,"Portsmouth, VA",1
2019,4,"Allegheny, PA",1
2017,1,"Wayne, MI",2
2019,4,"Franklin, WA",120
2021,5,"San Juan, WA",0
2019,1,"Anne Arundel, MD",1
2020,12,"Philadelphia, PA",1
2022,10,"Franklin, WA",351
2022,10,"Skagit, WA",8
2020,7,"Okanogan, WA",0
2021,4,"Portsmouth, VA",1
2023,4,"Bell, TX",1
2018,1,"Travis, TX",2
2022,6,"Gwinnett, GA",1
2023,2,"St. Lawrence, NY",1
2021,8,"Cowlitz, WA",1
2022,9,"Kitsap, WA",23
2022,2,"Okanogan, WA",0
2019,9,"Contra Costa, CA",4
2021,11,"Yavapai, AZ",1
2023,7,"Santa Clara, CA",14
2023,12,"Meade, KY",1
2022,7,"Eagle, CO",1
2022,1,"Garfield, WA",3
2019,6,"Cook, IL",1
2019,10,"Volusia, FL",1
2018,12,"Polk, FL",1
2020,12,"Alexandria, VA",3
2023,6,"Harris, TX",3
2017,8,"Sumter, FL",1
2023,9,"Franklin, WA",511
2021,10,"San Diego, CA",24
2020,2,"Jefferson, WA",0
2017,1,"Fulton, GA",3
2022,5,"Mercer, NJ",1
2022,10,"Cowlitz, WA",4
2021,6,"Franklin, WA",0
2019,5,"Camden, NJ",1
2018,1,"Frederick, MD",1
2017,3,"Nantucket, MA",1
2019,5,"Okanogan, WA",44
2021,2,"Klickitat, WA",110
2022,9,"Whitman, WA",2
2018,8,"Arlington, VA",2
2019,8,"Sangamon, IL",1
2020,4,"Grays Harbor, WA",216
2022,4,"DeKalb, GA",1
2018,2,"New London, CT",1
2023,2,"Polk, OR",2
2017,6,"Sumter, FL",1
2021,11,"Harford, MD",2
2020,4,"Spartanburg, SC",1
2019,2,"Nassau, NY",3
2018,1,"Lumpkin, GA",1
2018,11,"Santa Cruz, CA",1
2021,8,"Mercer, NJ",1
2017,4,"Albemarle, VA",1
2023,4,"Virginia Beach, VA",4
2020,6,"Jefferson, WA",375
2019,4,"Clallam, WA",292
2018,1,"Wahkiakum, WA",0
2023,1,"Lincoln, WA",0
2018,2,"Maui, HI",1
2022,4,"Klickitat, WA",0
2022,8,"Plaquemines, LA",2
2022,10,"Sarpy, NE",1
2023,10,"Kern, CA",2
2019,9,"Harnett, NC",2
2018,5,"Collin, TX",1
2019,4,"Collin, TX",3
2018,6,"Walla Walla, WA",0
2021,5,"Orange, NC",1
2020,3,"Oldham, KY",1
2023,6,"Skamania, WA",166
2022,4,"Adams, WA",0
2023,9,"El Paso, TX",3
2023,10,"Santa Clara, CA",13
2020,10,"Okaloosa, FL",1
2021,9,"Moore, NC",1
2020,3,"Grays Harbor, WA",0
2021,12,"Pima, AZ",2
2022,4,"Richland, SC",2
2021,9,"New York, NY",1
2017,8,"Hamilton, IN",1
2023,10,"Pulaski, MO",1
2022,3,"Monterey, CA",3
2022,4,"Powhatan, VA",1
2019,3,"Lewis, WA",187
2018,9,"Franklin, WA",0
2023,3,"Suffolk, VA",1
2018,5,"Richland, SC",1
2018,6,"Honolulu, HI",3
2017,4,"Palm Beach, FL",2
2022,4,"Montgomery, TX",1
2017,1,"King, WA",9
2017,12,"Okanogan, WA",0
2023,7,"Muscogee, GA",1
2022,7,"Wichita, TX",1
2018,7,"Gwinnett, GA",1
2019,7,"Lincoln, WA",0
2021,11,"Jefferson, WA",566
2022,11,"Orange, NC",1
2021,4,"Danville, VA",1
2017,2,"Snohomish, WA",2428
2023,3,"San Juan, WA",767
2022,10,"San Bernardino, CA",3
2020,8,"Los Angeles, CA",19
2017,7,"Pima, AZ",3
2022,9,"Orange, FL",1
2020,10,"Hudson, NJ",1
2021,2,"Clallam, WA",477
2017,1,"Kittitas, WA",31
2020,2,"Solano, CA",1
2022,8,"Rockingham, NH",1
2022,12,"District of Columbia, DC",2
2021,9,"Larimer, CO",1
2019,9,"Clackamas, OR",3
2022,1,"Sumter, SC",1
2023,12,"Marion, IA",1
2023,6,"Benton, WA",1714
2018,3,"San Diego, CA",7
2017,3,"Mason, WA",0
2017,1,"Klickitat, WA",0
2021,6,"Skagit, WA",1
2019,2,"Montgomery, MD",1
2017,7,"Kent, MI",1
2022,2,"Sarasota, FL",2
2017,1,"Franklin, WA",0
2021,9,"District of Columbia, DC",4
2019,8,"Klickitat, WA",0
2020,10,"Carroll, NH",1
2019,8,"Owyhee, ID",1
2021,2,"Stevens, WA",80
2017,3,"Gwinnett, GA",1
2020,1,"Randolph, NC",1
2018,12,"Pinal, AZ",2
2022,10,"Bartow, GA",1
2021,3,"Hamilton, IN",2
2020,3,"RÃ­o Grande, PR",1
2023,3,"Orange, CA",13
2017,3,"Benton, WA",0
2018,5,"Pacific, WA",0
2021,6,"Pierce, WA",5465
2018,8,"Fairfax, VA",5
2017,5,"Fairfax, VA",5
2021,10,"San Joaquin, CA",2
2021,12,"San Bernardino, CA",2
2018,6,"Grays Harbor, WA",0
2020,4,"Klamath, OR",1
2020,11,"Spokane, WA",0
2018,10,"Ferry, WA",0
2017,10,"Pacific, WA",0
2018,1,"Kitsap, WA",1108
2017,3,"Maricopa, AZ",3
2022,8,"Fairfax, VA",10
2019,7,"Hillsborough, FL",1
2022,6,"Multnomah, OR",3
2020,10,"New York, NY",1
2018,7,"King, WA",19278
2017,5,"Lincoln, WA",0
2020,5,"New London, CT",2
2019,9,"Nueces, TX",2
2018,3,"Manassas, VA",1
2019,1,"Carroll, NH",1
2021,4,"Yakima, WA",0
2017,4,"Pacific, WA",0
2017,12,"Skamania, WA",17
2023,3,"Columbia, OR",1
2020,12,"Hawaii, HI",1
2022,7,"Juneau, AK",1
2019,6,"Island, WA",558
2020,7,"Clallam, WA",406
2020,11,"San Diego, CA",17
2021,1,"Travis, TX",6
2020,9,"Boulder, CO",2
2018,2,"DuPage, IL",1
2023,5,"Virginia Beach, VA",1
2021,12,"Kitsap, WA",3082
2018,1,"Island, WA",327
2017,8,"Klickitat, WA",46
2020,7,"Lincoln, WA",16
2020,6,"Skamania, WA",48
2017,6,"Lincoln, WA",7
2018,7,"Sacramento, CA",1
2023,5,"Riverside, CA",7
2022,4,"Lewis, WA",404
2020,12,"Suffolk, MA",2
2023,7,"Platte, MO",1
2019,3,"Spokane, WA",883
2017,10,"Lincoln, WA",7
2021,7,"Dallas, IA",1
2023,3,"Adams, CO",1
2021,7,"Philadelphia, PA",1
2022,7,"St. Lawrence, NY",1
2017,5,"Okanogan, WA",19
2023,11,"Mason, WA",755
2024,2,"Spokane, WA",77
2018,6,"Virginia Beach, VA",3
2023,8,"Kings, CA",4
2018,7,"San Francisco, CA",2
2021,9,"Williams, ND",1
2021,12,"Skagit, WA",996
2019,4,"San Juan, WA",273
2019,7,"Kootenai, ID",2
2018,5,"Travis, TX",2
2020,1,"Collin, TX",3
2022,10,"New London, CT",5
2022,11,"Sheridan, WY",1
2018,2,"Richland, SC",1
2021,7,"Polk, FL",1
2023,11,"St. Lawrence, NY",1
2019,11,"Douglas, WA",0
2018,6,"King, WA",8
2022,7,"Mason, WA",4
2019,8,"Chelan, WA",0
2017,9,"Franklin, WA",0
2019,7,"Santa Cruz, CA",1
2020,2,"Middlesex, MA",2
2021,2,"Clallam, WA",1
2022,10,"Honolulu, HI",7
2018,4,"Okanogan, WA",0
2020,10,"Travis, TX",4
2019,11,"Virginia Beach, VA",1
2022,1,"Lake, IL",3
2018,8,"Nassau, NY",2
2018,8,"Shelby, TN",1
2020,2,"Sarasota, FL",2
2019,6,"Asotin, WA",20
2020,4,"Okanogan, WA",65
2023,4,"Island, WA",1435
2019,9,"El Paso, TX",3
2019,4,"Howard, MD",1
2019,4,"Thurston, WA",1433
2020,7,"Henrico, VA",1
2021,8,"Leavenworth, KS",1
2023,4,"Dallas, TX",1
2021,5,"Miami-Dade, FL",1
2020,7,"Harford, MD",1
2018,8,"Clackamas, OR",1
2023,5,"Arlington, VA",1
2022,11,"Santa Cruz, CA",1
2021,3,"Bucks, PA",1
2023,12,"Spokane, WA",4254
2019,7,"Norfolk, VA",4
2020,11,"Kings, NY",1
2020,11,"Hudson, NJ",1
2021,9,"Bexar, TX",6
2018,12,"Suffolk, MA",1
2021,5,"Carson City, NV",1
2017,6,"Maricopa, AZ",3
2017,8,"Multnomah, OR",4
2021,11,"Clark, NV",9
2020,8,"Garfield, WA",1
2022,4,"Pima, AZ",2
2018,4,"Brevard, FL",1
2022,7,"Houston, GA",1
2019,11,"Jefferson, NY",2
2020,5,"Placer, CA",2
2019,8,"Harrison, MS",1
2022,9,"Danville, VA",1
2021,3,"Twin Falls, ID",1
2020,8,"Cowlitz, WA",0
2021,7,"Hamilton, IN",2
2021,10,"Jefferson, NY",2
2023,8,"Snohomish, WA",17188
2023,9,"Pierce, WA",11553
2017,2,"Clark, WA",0
2020,7,"San Diego, CA",18
2022,11,"Clark, NV",11
2022,6,"Hudson, NJ",2
2019,10,"Thurston, WA",1690
2022,4,"Yakima, WA",0
2021,5,"Duval, FL",2
2022,1,"Boulder, CO",3
2021,2,"Plaquemines, LA",1
2017,1,"Adams, WA",2
2018,9,"Ferry, WA",0
2019,8,"Clark, NV",7
2022,12,"Middlesex, MA",3
2017,1,"Saratoga, NY",2
2018,7,"Lane, OR",1
2023,12,"Williamson, TX",1
2022,4,"Spokane, WA",2316
2021,9,"Queens, NY",2
2024,2,"Harnett, NC",4
2021,9,"Greene, MO",1
2017,10,"Franklin, MA",1
2022,7,"Jefferson, WA",661
2021,4,"El Paso, CO",3
2020,10,"Bartow, GA",1
2020,8,"Owyhee, ID",1
2023,5,"Henrico, VA",1
2022,12,"Okaloosa, FL",1
2020,7,"Nassau, FL",1
2020,1,"Columbia, OR",1
2020,6,"Kent, MI",1
2021,1,"Platte, MO",1
2021,12,"Nassau, NY",3
2021,3,"Garfield, WA",0
2020,10,"Owyhee, ID",1
2017,8,"Whatcom, WA",663
2017,3,"Chelan, WA",85
2020,4,"Stevens, WA",66
2017,3,"Tarrant, TX",2
2022,11,"Lincoln, WA",31
2018,12,"Whatcom, WA",2
2021,11,"Kern, CA",1
2019,10,"Norfolk, MA",1
2023,1,"DeKalb, GA",1
2022,12,"Yavapai, AZ",1
2022,8,"DuPage, IL",3
2019,4,"Tarrant, TX",3
2023,1,"Kauai, HI",2
2018,10,"Fulton, GA",3
2019,6,"Camden, NJ",1
2023,4,"Galveston, TX",1
2023,2,"Walla Walla, WA",313
2020,4,"Arlington, VA",2
2023,2,"Arlington, VA",1
2019,1,"Nueces, TX",2
2021,4,"Richland, SC",1
2023,5,"Hudson, NJ",1
2021,12,"Kings, NY",1
2017,11,"Kitsap, WA",1043
2017,5,"Ferry, WA",0
2017,11,"Anne Arundel, MD",1
2022,1,"El Paso, TX",2
2019,9,"Lake, FL",1
2023,2,"King, WA",63800
2018,12,"Lewis, WA",0
2019,1,"Santa Clara, CA",9
2019,3,"Richland, SC",1
2020,4,"Collier, FL",1
2022,1,"Allen, IN",1
2022,7,"Howard, IN",1
2018,1,"Saratoga, NY",2
2019,9,"Columbia, WA",5
2022,7,"Sarasota, FL",2
2023,10,"Montgomery, TN",1
2018,8,"Charleston, SC",1
2021,1,"Twin Falls, ID",1
2022,5,"Okaloosa, FL",1
2021,6,"Columbia, WA",0
2018,5,"Northampton, PA",1
2021,5,"Manassas, VA",1
2021,2,"Montgomery, PA",1
2018,1,"Stevens, WA",32
2020,4,"Deschutes, OR",4
2019,10,"San Juan, WA",0
2021,3,"Maricopa, AZ",12
2022,2,"Juneau, AK",1
2019,4,"Fairfax, VA",6
2022,3,"Los Angeles, CA",13
2021,10,"Fort Bend, TX",1
2020,12,"Placer, CA",2
2018,11,"Carson City, NV",1
2023,5,"Pulaski, MO",2
2021,8,"Dallas, IA",1
2019,5,"Maui, HI",2
2021,12,"Rockdale, GA",1
2021,4,"San Juan, WA",0
2022,12,"Montgomery, PA",1
2019,3,"Clackamas, OR",2
2024,1,"Shelby, AL",1
2021,11,"DeKalb, GA",1
2022,3,"Nueces, TX",2
2023,7,"Howard, MD",2
2017,9,"Montgomery, PA",1
2020,9,"Bradley, TN",1
2020,1,"Fairfax, VA",7
2022,2,"Yellowstone, MT",1
2021,11,"Williams, ND",1
2020,5,"Douglas, WA",109
2021,12,"Okanogan, WA",0
2018,3,"Polk, FL",1
2023,10,"Maui, HI",1
2021,4,"Kitsap, WA",0
2018,1,"Montgomery, MD",1
2022,8,"Grant, WA",1
2020,4,"Flathead, MT",1
2022,12,"Palm Beach, FL",2
2022,6,"Suffolk, MA",1
2024,2,"Sacramento, CA",1
2021,2,"Hillsborough, FL",1
2017,10,"Wayne, MI",1
2023,5,"New Haven, CT",2
2021,5,"Kings, NY",1
2023,1,"Oldham, KY",1
2018,5,"Franklin, WA",101
2017,5,"Lincoln, WA",7
2018,11,"Pacific, WA",43
2021,4,"Duval, FL",2
2022,7,"Hamilton, OH",1
2018,12,"Santa Clara, CA",9
2018,2,"St. Clair, IL",1
2022,8,"Chesapeake, VA",5
2019,12,"Collier, FL",1
2019,4,"Spokane, WA",1
2020,4,"Benton, WA",0
2024,1,"Lewis, WA",13
2020,2,"Harris, TX",1
2021,11,"Anne Arundel, MD",4
2021,9,"Miami-Dade, FL",1
2019,10,"Camden, NJ",1
2022,12,"Goochland, VA",3
2024,1,"Fulton, GA",1
2019,3,"Yakima, WA",0
2022,8,"Collin, TX",3
2022,1,"Harris, TX",1
2023,4,"Douglas, CO",2
2019,1,"Sedgwick, KS",1
2023,1,"Anne Arundel, MD",6
2020,2,"Benton, WA",657
2017,7,"DeKalb, GA",1
2023,10,"Harnett, NC",4
2020,12,"Prince George's, MD",3
2018,8,"Latah, ID",1
2021,9,"Garfield, WA",0
2023,11,"Sacramento, CA",1
2019,4,"Oldham, KY",1
2022,10,"Wood, OH",1
2022,3,"St. Mary's, MD",1
2022,7,"Goochland, VA",5
2017,5,"Morris, NJ",1
2017,12,"Prince William, VA",4
2017,6,"Klickitat, WA",0
2019,3,"Spartanburg, SC",1
2023,8,"Lake, IN",1
2021,5,"Powhatan, VA",1
2023,12,"Grant, WA",14
2022,4,"Lincoln, WA",0
2022,1,"Lee, FL",1
2023,12,"Currituck, NC",1
2023,6,"King, WA",72333
2023,2,"Kittitas, WA",413
2019,7,"Multnomah, OR",11
2020,3,"Cochise, AZ",1
2022,10,"Klickitat, WA",3
2020,5,"Columbia, OR",1
2021,7,"Essex, NJ",1
2017,2,"Jefferson, WA",144
2022,5,"Pennington, SD",2
2023,10,"Onslow, NC",1
2023,12,"Grant, WA",522
2021,6,"San Juan, WA",566
2021,9,"Lake, FL",1
2017,6,"Thurston, WA",734
2020,8,"Douglas, WA",118
2020,2,"Santa Rosa, FL",1
2023,10,"Otero, NM",1
2023,10,"Hamilton, OH",1
2019,7,"Berkshire, MA",1
2020,9,"Lincoln, WA",15
2022,3,"Fort Bend, TX",1
2023,2,"Jefferson, WA",751
2023,12,"Pend Oreille, WA",2
2018,3,"Marion, IN",1
2023,10,"Pulaski, AR",2
2019,7,"Saginaw, MI",1
2022,10,"Richmond, NY",1
2017,6,"Los Angeles, CA",3
2019,12,"Hudson, NJ",1
2019,2,"Klamath, OR",1
2021,3,"Ramsey, MN",1
2022,4,"Hawaii, HI",1
2019,9,"Whatcom, WA",1382
2022,10,"Lincoln, WA",0
2021,10,"Sedgwick, KS",2
2023,2,"Clark, NV",11
2019,11,"Ramsey, MN",1
2020,3,"Alexandria, VA",1
2022,9,"Hawaii, HI",1
2023,7,"Benton, WA",1750
2017,11,"Bexar, TX",2
2021,5,"Clark, NV",7
2024,2,"Sonoma, CA",3
2023,7,"Prince William, VA",3
2022,1,"New York, NY",1
2017,4,"San Mateo, CA",1
2020,9,"Solano, CA",1
2023,7,"Sarpy, NE",1
2023,8,"Grant, WA",442
2018,3,"Ada, ID",2
2021,11,"Chelan, WA",0
2023,2,"Moore, NC",1
2017,3,"Asotin, WA",7
2023,11,"Laramie, WY",1
2022,8,"Clallam, WA",4
2019,1,"Larimer, CO",1
2023,6,"Bexar, TX",5
2023,3,"Palm Beach, FL",2
2021,9,"Los Angeles, CA",15
2022,12,"Montgomery, MD",7
2021,10,"Lincoln, WA",23
2022,7,"Wake, NC",1
2022,2,"Wahkiakum, WA",0
2019,3,"Kitsap, WA",1
2019,9,"Yakima, WA",0
2021,11,"Fairbanks North Star, AK",1
2019,1,"Sangamon, IL",1
2021,8,"Howard, IN",1
2018,5,"San Juan, WA",0
2019,6,"Clark, WA",2465
2017,2,"Moore, NC",1
2020,8,"Riverside, CA",3
2019,5,"Travis, TX",5
2019,4,"Santa Cruz, CA",1
2022,4,"Stevens, WA",116
2022,3,"Franklin, WA",0
2023,3,"Napa, CA",1
2019,12,"Stevens, WA",62
2019,2,"Deschutes, OR",3
2020,8,"Kings, NY",1
2018,12,"Ferry, WA",5
2019,3,"Virginia Beach, VA",2
2023,2,"Philadelphia, PA",1
2023,2,"Pend Oreille, WA",0
2022,12,"Hamilton, OH",1
2019,12,"Clay, FL",1
2021,11,"Pulaski, MO",1
2022,3,"Washington, MD",2
2018,11,"Jefferson, WA",273
2023,5,"Placer, CA",1
2020,11,"Clark, NV",6
2022,12,"Thurston, WA",3755
2022,1,"Wahkiakum, WA",28
2018,12,"Klickitat, WA",0
2020,6,"Grays Harbor, WA",0
2022,5,"Norfolk, VA",6
2018,7,"Norfolk, MA",1
2017,9,"Snohomish, WA",2885
2023,12,"Whitman, WA",7
2018,3,"Spokane, WA",577
2021,11,"Garfield, WA",3
2020,10,"Denver, CO",1
2023,10,"Benton, WA",31
2017,1,"Multnomah, OR",3
2022,4,"Collin, TX",3
2022,5,"Nueces, TX",2
2023,6,"Denton, TX",1
2017,12,"Hamilton, TN",1
2018,12,"Clark, NV",5
2020,11,"District of Columbia, DC",3
2022,9,"Stevens, WA",1
2017,3,"Jefferson, WA",0
2021,3,"Salt Lake, UT",1
2020,12,"Rogers, OK",1
2023,5,"Galveston, TX",1
2022,8,"Kitsap, WA",19
2019,12,"Skamania, WA",44
2017,7,"Norfolk, VA",2
2020,6,"Walla Walla, WA",135
2019,6,"Albemarle, VA",1
2022,3,"Charles, MD",1
2019,8,"RÃ­o Grande, PR",1
2021,8,"Allegheny, PA",2
2020,3,"Jefferson, WA",0
2019,5,"Sacramento, CA",1
2019,1,"Penobscot, ME",1
2020,10,"Cumberland, NC",3
2020,7,"Boulder, CO",2
2021,5,"Greene, MO",1
2023,8,"Maui, HI",1
2022,6,"Cowlitz, WA",3
2022,2,"Cowlitz, WA",1
2019,8,"Denver, CO",1
2023,1,"Columbia, WA",9
2020,1,"Cowlitz, WA",238
2022,8,"San Diego, CA",27
2017,7,"Lane, OR",1
2017,12,"Maricopa, AZ",3
2018,5,"Virginia Beach, VA",3
2022,12,"Collier, FL",1
2017,4,"Montgomery, MD",1
2021,5,"Hillsborough, FL",2
