year,month,Region,Electric Vehicle (EV) Total
2017,7,"San Juan, WA",0
2022,1,"Benton, WA",1105
2019,4,"Palm Beach, FL",2
2022,6,"San Luis Obispo, CA",1
2023,10,"Polk, OR",2
2023,2,"Maui, HI",1
2023,2,"Harford, MD",2
2019,10,"Clallam, WA",1
2017,11,"Thurston, WA",0
2020,12,"Charles, MD",2
2022,4,"York, VA",1
2023,11,"Newport News, VA",1
2019,7,"Middlesex, MA",2
2022,12,"Maui, HI",1
2019,8,"Lee, FL",1
2023,5,"Marion, IA",1
2017,1,"Skamania, WA",14
2018,5,"Riverside, CA",4
2021,5,"Asotin, WA",33
2018,8,"Riverside, CA",4
2019,3,"Pacific, WA",49
2017,7,"Lewis, WA",0
2023,5,"Onslow, NC",1
2023,4,"Allen, IN",1
2022,10,"Parker, TX",1
2020,4,"Putnam, TN",1
2022,9,"Ray, MO",1
2022,3,"DeKalb, GA",1
2020,11,"Asotin, WA",31
2021,4,"Sedgwick, KS",2
2020,1,"Douglas, WA",108
2022,1,"Thurston, WA",3
2022,7,"Kitsap, WA",13
2017,10,"Los Angeles, CA",6
2023,7,"Alexandria, VA",4
2019,8,"Jefferson, NY",2
2021,12,"Platte, MO",1
2019,12,"Tulsa, OK",2
2018,2,"Marin, CA",1
2023,10,"Lincoln, OR",1
2019,8,"Okanogan, WA",0
2017,4,"Lewis, WA",0
2020,9,"Kittitas, WA",161
2021,11,"Harnett, NC",2
2020,2,"Tarrant, TX",3
2018,6,"Dallas, TX",1
2020,11,"Jefferson, NY",1
2021,12,"Boone, MO",1
2023,2,"Franklin, WA",403
2019,3,"Pacific, WA",0
2017,7,"San Juan, WA",151
2019,10,"Lewis, WA",0
2021,9,"Monterey, CA",3
2017,2,"Yakima, WA",0
2023,3,"Franklin, WA",416
2018,10,"Mecklenburg, NC",1
2019,3,"Hardin, KY",1
2022,4,"Howard, MD",2
2024,1,"Montgomery, OH",1
2022,2,"Hamilton, IN",2
2022,7,"Oldham, KY",1
2020,10,"Fairbanks North Star, AK",1
2021,9,"Benton, WA",993
2017,1,"Dallas, TX",1
2023,8,"Snohomish, WA",198
2020,12,"Utah, UT",1
2018,12,"Volusia, FL",1
2024,1,"Yuba, CA",1
2021,5,"Ulster, NY",1
2017,2,"Sumter, FL",1
2022,12,"Orange, NC",1
2020,10,"Jones, GA",1
2022,12,"Contra Costa, CA",3
2020,6,"Clallam, WA",1
2019,2,"Goochland, VA",2
2018,10,"Portsmouth, VA",1
2022,8,"Los Angeles, CA",12
2019,12,"DuPage, IL",3
2022,11,"Broward, FL",1
2019,2,"Hennepin, MN",2
2019,4,"Guadalupe, TX",1
2022,10,"Marin, CA",2
2017,11,"Hamilton, TN",1
2024,2,"Rockdale, GA",1
2023,3,"Contra Costa, CA",3
2023,1,"Klickitat, WA",180
2022,12,"Franklin, WA",372
2023,9,"Garfield, WA",0
2019,3,"Grays Harbor, WA",0
2018,7,"Portsmouth, VA",1
2023,2,"Kern, CA",2
2020,6,"Saginaw, MI",1
2017,6,"Sedgwick, KS",1
2019,9,"Sangamon, IL",1
2020,6,"Hillsborough, FL",1
2020,11,"Portsmouth, VA",1
2020,8,"Pend Oreille, WA",13
2022,12,"Kern, CA",2
2018,10,"Dakota, MN",2
2022,9,"Bell, TX",1
2021,8,"Contra Costa, CA",6
2019,11,"Stafford, VA",2
2023,5,"Palm Beach, FL",2
2022,5,"St. Clair, IL",1
2018,4,"DeKalb, GA",1
2022,9,"Meade, KY",1
2022,5,"Hennepin, MN",2
2023,11,"Allen, IN",1
2023,2,"Orange, NC",1
2017,8,"Grays Harbor, WA",0
2017,1,"Garfield, WA",0
2022,2,"Solano, CA",1
2019,1,"Ada, ID",2
2022,4,"Gwinnett, GA",1
2017,9,"DeKalb, IN",1
2017,7,"Ferry, WA",2
2018,1,"Clay, FL",1
2020,3,"Portsmouth, VA",1
2020,8,"Yakima, WA",0
2020,7,"Spartanburg, SC",1
2021,7,"Houston, GA",1
2023,12,"New London, CT",4
2023,11,"Houston, GA",1
2023,11,"Middlesex, NJ",1
2022,2,"Shelby, OH",1
2021,3,"Randolph, NC",1
2023,3,"Orange, NC",1
2018,12,"Pierce, WA",2882
2018,12,"Walla Walla, WA",0
2023,6,"Pulaski, AR",3
2023,10,"Okanogan, WA",220
2022,3,"Moore, NC",1
2019,3,"Broward, FL",3
2023,12,"Salt Lake, UT",2
2023,1,"Loudoun, VA",5
2024,2,"Walla Walla, WA",413
2018,8,"Whitman, WA",50
2021,9,"Orange, CA",7
2020,10,"Thurston, WA",0
2020,2,"Jefferson, CO",1
2023,11,"Maui, HI",1
2020,6,"Island, WA",1
2020,1,"Okanogan, WA",62
2017,5,"Sumter, FL",1
2021,2,"Okanogan, WA",0
2019,1,"Manatee, FL",1
2021,12,"Allegheny, PA",2
2019,5,"Wilson, TX",1
2018,5,"Hamilton, IN",1
2019,4,"Charles, MD",1
2020,4,"Mason, WA",288
2021,10,"Multnomah, OR",8
2019,8,"Suffolk, MA",1
2019,5,"Thurston, WA",1473
2021,12,"Yakima, WA",459
2021,1,"Okaloosa, FL",1
2023,9,"Polk, OR",2
2023,4,"Moore, NC",1
2022,10,"Carroll, MD",1
2022,2,"Alexandria, VA",4
2021,7,"San Joaquin, CA",1
2019,4,"Cumberland, NC",2
2023,1,"Adams, WA",1
2020,1,"Anne Arundel, MD",2
2023,2,"Spokane, WA",3018
2017,4,"Klickitat, WA",45
2023,12,"Island, WA",42
2020,10,"Arapahoe, CO",1
2019,3,"Montgomery, PA",2
2017,10,"Adams, WA",6
2021,4,"Thurston, WA",0
2021,5,"Benton, WA",887
2023,3,"Lewis, WA",488
2022,6,"San Diego, CA",25
2022,1,"Anne Arundel, MD",4
2023,12,"Stevens, WA",211
2024,2,"Mason, WA",797
2021,2,"Montgomery, OH",1
2023,7,"Whitman, WA",5
2020,1,"Maricopa, AZ",16
2019,11,"Polk, FL",1
2020,3,"Suffolk, VA",1
2020,9,"Clark, WA",3272
2022,8,"Walla Walla, WA",282
2017,7,"Morris, NJ",1
2019,6,"District of Columbia, DC",2
2022,4,"Manassas, VA",1
2019,5,"Pend Oreille, WA",9
2019,2,"Norfolk, VA",4
2020,2,"Montgomery, OH",1
2021,10,"Philadelphia, PA",1
2024,1,"Cumberland, NC",4
2024,2,"Orange, NC",1
2017,7,"Whatcom, WA",2
2022,12,"Whitman, WA",177
2020,7,"Chelan, WA",322
2020,8,"Jefferson, NY",1
2023,7,"Middlesex, MA",3
2024,2,"Plaquemines, LA",2
2018,6,"Kent, MI",1
2023,8,"Sacramento, CA",1
2021,9,"Okanogan, WA",111
2017,5,"Marion, OR",1
2019,12,"Fairfax, VA",7
2023,1,"Yakima, WA",8
2021,6,"El Dorado, CA",1
2023,6,"Lee, AL",1
2023,12,"Thurston, WA",91
2017,2,"Contra Costa, CA",1
2022,4,"Sarasota, FL",2
2017,11,"Whatcom, WA",738
2020,4,"Boulder, CO",2
2023,8,"Cochise, AZ",1
2024,2,"James City, VA",1
2023,12,"Sacramento, CA",2
2017,6,"Tulare, CA",1
2022,9,"Kittitas, WA",381
2019,4,"Kittitas, WA",106
2019,9,"Alexandria, VA",1
2021,4,"St. Louis, MO",1
2019,1,"Richland, SC",1
2023,8,"Boulder, CO",2
2020,7,"Wilson, TX",1
2020,8,"King, WA",32980
2017,7,"Skagit, WA",1
2023,11,"San Juan, WA",22
2017,2,"Asotin, WA",0
2022,2,"Lewis, WA",0
2019,5,"Deschutes, OR",3
2022,5,"Santa Clara, CA",13
2020,1,"Maui, HI",2
2021,3,"Marion, IA",1
2019,6,"Guadalupe, TX",1
2022,2,"Ray, MO",1
2018,3,"DeKalb, GA",1
2019,3,"Los Angeles, CA",10
2020,6,"Cumberland, NC",3
2020,5,"Franklin, WA",0
2022,1,"Gwinnett, GA",1
2019,11,"Hawaii, HI",1
2017,7,"Flathead, MT",1
2020,7,"Jefferson, WA",391
2019,11,"Stevens, WA",0
2017,9,"Lincoln, WA",8
2023,6,"Wahkiakum, WA",43
2018,5,"Okanogan, WA",0
2024,1,"Bartow, GA",1
2021,11,"Onslow, NC",1
2023,7,"Burlington, NJ",4
2018,7,"Prince George, VA",1
2019,6,"Kalamazoo, MI",1
2017,5,"Wahkiakum, WA",0
2022,9,"Napa, CA",1
2023,4,"Essex, NJ",2
2019,4,"Clark, WA",0
2021,6,"Jefferson, WA",514
2022,2,"Pacific, WA",123
2020,11,"Prince William, VA",5
2022,9,"St. Louis, MO",2
2018,6,"Garfield, WA",0
2021,8,"Richmond, NY",1
2020,11,"Skagit, WA",1
2021,8,"Kern, CA",1
2019,5,"Cumberland, NC",2
2021,9,"Montgomery, TN",1
2018,3,"Canyon, ID",1
2021,5,"Skamania, WA",0
2020,12,"Lewis, WA",0
2018,6,"Skagit, WA",372
2019,7,"Mason, WA",251
2024,2,"Maricopa, AZ",7
2022,4,"Bexar, TX",7
2020,4,"Denton, TX",1
2019,6,"Klamath, OR",1
2023,9,"Mason, WA",714
2020,8,"Fulton, GA",3
2022,9,"Platte, MO",1
2022,6,"Grant, WA",274
2023,6,"Pierce, WA",164
2022,7,"Adams, WA",1
2017,9,"Marin, CA",1
2024,2,"Albemarle, VA",2
2018,6,"Santa Rosa, FL",1
2018,8,"Wahkiakum, WA",2
2018,3,"Walla Walla, WA",0
2018,7,"Cowlitz, WA",0
2021,5,"Montgomery, MD",3
2021,6,"Grays Harbor, WA",0
2021,10,"Harrison, MS",2
2019,3,"Middlesex, MA",2
2019,7,"Charleston, SC",1
2020,8,"Rogers, OK",1
2023,12,"Benton, WA",2016
2017,12,"Stevens, WA",0
2020,10,"Columbia, WA",0
2022,4,"Denton, TX",2
2018,6,"Manatee, FL",1
2022,12,"Lee, FL",1
2020,4,"Williams, ND",1
2022,9,"Fairfax, VA",1
2019,10,"Cowlitz, WA",218
2019,2,"Okanogan, WA",0
2021,2,"Hudson, NJ",1
2019,3,"Kern, CA",1
2021,1,"Anchorage, AK",1
2022,6,"Dorchester, SC",1
2018,4,"Tulsa, OK",1
2023,4,"Richmond, NY",1
2024,1,"Klickitat, WA",260
2024,1,"Adams, WA",45
2023,9,"Norfolk, VA",3
2022,9,"Lewis, WA",1
2023,3,"Klickitat, WA",6
2023,12,"Lincoln, WA",0
2019,10,"Lake, FL",1
2023,9,"DeKalb, GA",2
2020,2,"Saginaw, MI",1
2020,10,"Clark, WA",0
2022,7,"Columbia, WA",0
2018,10,"Sangamon, IL",1
2019,11,"Sangamon, IL",1
2022,10,"Pend Oreille, WA",30
2023,5,"Yuba, CA",1
2017,8,"Asotin, WA",13
2021,8,"Lake, IL",2
2023,1,"Middlesex, NJ",1
2020,10,"RÃ­o Grande, PR",1
2019,11,"Benton, WA",617
2020,4,"Lee, FL",1
2018,9,"Douglas, NE",1
2020,3,"Dakota, MN",1
2020,1,"Kootenai, ID",2
2023,12,"Galveston, TX",1
2020,7,"Cowlitz, WA",263
2024,1,"Ventura, CA",5
2018,4,"Pacific, WA",0
2018,6,"Hawaii, HI",1
2020,1,"Cochise, AZ",1
2022,11,"Allegheny, PA",1
2022,8,"Kittitas, WA",372
2022,10,"Garfield, WA",4
2024,2,"King, WA",1166
2020,2,"Guadalupe, TX",1
2021,7,"Chelan, WA",0
2022,12,"Lincoln, WA",0
2022,3,"Suffolk, VA",1
2017,11,"Mercer, NJ",1
2023,6,"Houston, GA",1
2019,10,"Clark, WA",0
2021,10,"Spokane, WA",0
2022,12,"Klickitat, WA",4
2023,8,"Adams, WA",37
2023,10,"Solano, CA",5
2020,5,"Albemarle, VA",1
2018,1,"Portsmouth, VA",1
2020,4,"Osceola, FL",1
2022,4,"Maricopa, AZ",11
2018,2,"Saratoga, NY",2
2017,4,"King, WA",9
2018,8,"Whatcom, WA",2
2020,2,"Shasta, CA",1
2022,1,"Columbia, WA",8
2022,5,"Sacramento, CA",3
2021,2,"Milwaukee, WI",1
2022,9,"Marion, IA",1
2018,1,"Mason, WA",140
2020,3,"Maricopa, AZ",16
